experiment,epoch,accuracy,loss,val_accuracy,val_loss,recall,f1_score,mcc,epoch_time
resnet50_5e-05_10,1.0,0.7523106932640076,0.6588451266288757,0.9492431282997132,0.1915256828069687,0.9492296374030144,0.9511982829581968,0.9300250846132276,228.85
resnet50_5e-05_10,2.0,0.9081658720970154,0.2844606637954712,0.9572573304176332,0.1450112611055374,0.9577639084356778,0.9596428698742572,0.9410989671559384,207.76
resnet50_5e-05_10,3.0,0.928516924381256,0.2214322388172149,0.9643810987472534,0.1246124282479286,0.9670049618237428,0.9669677342428562,0.950935508904636,205.16
resnet50_5e-05_10,4.0,0.9316543936729432,0.1953335106372833,0.9652715921401978,0.114142008125782,0.9672950517907252,0.9678672911903186,0.9521549630069542,192.44
resnet50_5e-05_10,5.0,0.9404731392860411,0.1748663038015365,0.966162085533142,0.1050183102488517,0.9696868040984716,0.9687543525782848,0.953407423201914,191.08
resnet50_5e-05_10,6.0,0.9486984014511108,0.1558940261602401,0.9643810987472534,0.1011863946914672,0.9656117793428284,0.9667762279421612,0.9509582810536332,176.63
resnet50_5e-05_10,7.0,0.950733482837677,0.1400419175624847,0.9652715921401978,0.0995163097977638,0.9668987416321942,0.967465215397072,0.9521887335553556,154.25
resnet50_5e-05_10,8.0,0.9544644951820374,0.1358208507299423,0.96972393989563,0.0940328240394592,0.9722641236861006,0.9714642327881652,0.9583282998381476,153.78
resnet50_5e-05_10,9.0,0.9592130780220032,0.1258324086666107,0.9715049266815186,0.0890425592660904,0.9736642096996724,0.9728601744845468,0.9607826951040368,151.04
resnet50_5e-05_10,10.0,0.9596370458602904,0.121522307395935,0.972395360469818,0.092043936252594,0.9748069757577712,0.9735385237214912,0.9620426013146955,153.16
resnet50_5e-05_12,1.0,0.7660476565361023,0.6093204021453857,0.951024055480957,0.1793564260005951,0.9523077898362742,0.9526933952226324,0.9325202402621496,165.61
resnet50_5e-05_12,2.0,0.9097769856452942,0.267303854227066,0.9554764032363892,0.1450859606266021,0.9556974127908624,0.9577232250992868,0.9387858828314928,153.59
resnet50_5e-05_12,3.0,0.9264817833900452,0.2129506468772888,0.9581478238105774,0.1273697316646576,0.9611763103045934,0.9607666517957758,0.9424203716459288,156.23
resnet50_5e-05_12,4.0,0.9375901222229004,0.1836383640766143,0.9572573304176332,0.1199414730072021,0.959189860928102,0.9596915118965916,0.9412227794939844,152.55
resnet50_5e-05_12,5.0,0.9436954259872437,0.1694411188364029,0.9617096781730652,0.1029322445392608,0.9629703097922568,0.963506658221298,0.9472508743691592,150.87
resnet50_5e-05_12,6.0,0.9489527940750122,0.1510911583900451,0.966162085533142,0.1011652052402496,0.968605791318876,0.96869496623595,0.9534252653981984,152.66
resnet50_5e-05_12,7.0,0.954634130001068,0.1381728649139404,0.966162085533142,0.0980903953313827,0.9690531644787376,0.9683381208183944,0.953441755153838,155.15
resnet50_5e-05_12,8.0,0.9537861347198486,0.1322175562381744,0.9759572744369508,0.0919484347105026,0.9768110189440928,0.9766735754044154,0.9669381220119871,149.82
resnet50_5e-05_12,9.0,0.9581107497215272,0.1220574080944061,0.972395360469818,0.0846414342522621,0.9737680332067816,0.9739006717775708,0.9619742038118274,152.15
resnet50_5e-05_12,10.0,0.959891438484192,0.1179488748311996,0.9732858538627625,0.0818144604563713,0.974412363103689,0.9745869698470496,0.9631994892243918,157.82
resnet50_5e-05_12,11.0,0.9611634016036988,0.1133859083056449,0.9750667810440063,0.0813952833414077,0.9766889024471626,0.9758491621907948,0.9656679031802616,159.19
resnet50_5e-05_12,12.0,0.9643856287002563,0.1069575175642967,0.9768477082252502,0.076325237751007,0.9777164555409884,0.9775898651346284,0.968115491387224,161.55
